date,cloud_cover
2015-01-04,0.6585401785714285
2015-01-11,0.7939973214285715
2015-01-18,0.6291732142857143
2015-01-25,0.7015616071428571
2015-02-01,0.6563437500000001
2015-02-08,0.6119116071428571
2015-02-15,0.6938892857142857
2015-02-22,0.7014544642857142
2015-03-01,0.6611830357142857
2015-03-08,0.6146464285714286
2015-03-15,0.6379267857142857
2015-03-22,0.5828991071428572
2015-03-29,0.5824866071428572
2015-04-05,0.721325
2015-04-12,0.60924375
2015-04-19,0.49039464285714285
2015-04-26,0.44754464285714285
2015-05-03,0.5693446428571428
2015-05-10,0.667975
2015-05-17,0.4886955357142857
2015-05-24,0.5744401785714286
2015-05-31,0.5621991071428571
2015-06-07,0.4700133928571429
2015-06-14,0.5141839285714286
2015-06-21,0.6520973214285714
2015-06-28,0.6302830357142858
2015-07-05,0.5475312499999999
2015-07-12,0.5140151785714285
2015-07-19,0.4812723214285714
2015-07-26,0.5158937499999999
2015-08-02,0.5613830357142857
2015-08-09,0.5103758928571428
2015-08-16,0.5631616071428571
2015-08-23,0.7259017857142858
2015-08-30,0.5477392857142858
2015-09-06,0.5265464285714285
2015-09-13,0.4395767857142857
2015-09-20,0.5324544642857143
2015-09-27,0.4293419642857143
2015-10-04,0.5435160714285714
2015-10-11,0.6921535714285715
2015-10-18,0.5010321428571428
2015-10-25,0.6931669642857143
2015-11-01,0.6481633928571429
2015-11-08,0.6895901785714286
2015-11-15,0.7456446428571428
2015-11-22,0.6321473214285714
2015-11-29,0.7088401785714286
2015-12-06,0.8119616071428571
2015-12-13,0.7574839285714285
2015-12-20,0.8468785714285715
2015-12-27,0.7292741071428572
2016-01-03,0.8301071428571429
2016-01-10,0.7762669642857143
2016-01-17,0.6752848214285715
2016-01-24,0.7226982142857142
2016-01-31,0.8126294642857143
2016-02-07,0.7819062499999999
2016-02-14,0.5564660714285714
2016-02-21,0.7066044642857143
2016-02-28,0.5506544642857143
2016-03-06,0.7020321428571429
2016-03-13,0.6694553571428571
2016-03-20,0.4735348214285714
2016-03-27,0.7484973214285714
2016-04-03,0.6951616071428571
2016-04-10,0.6147758928571428
2016-04-17,0.6302232142857143
2016-04-24,0.48143303571428575
2016-05-01,0.6285955357142857
2016-05-08,0.7351357142857143
2016-05-15,0.48256249999999995
2016-05-22,0.6187383928571428
2016-05-29,0.4225160714285714
2016-06-05,0.4847142857142857
2016-06-12,0.6934696428571429
2016-06-19,0.7175874999999999
2016-06-26,0.49811785714285717
2016-07-03,0.5671723214285714
2016-07-10,0.643849107142857
2016-07-17,0.5498044642857143
2016-07-24,0.5170508928571429
2016-07-31,0.5501285714285714
2016-08-07,0.5295625
2016-08-14,0.5384732142857143
2016-08-21,0.5616964285714285
2016-08-28,0.6170223214285714
2016-09-04,0.6669607142857144
2016-09-11,0.5932866071428571
2016-09-18,0.56346875
2016-09-25,0.6743267857142857
2016-10-02,0.5772758928571429
2016-10-09,0.40663839285714287
2016-10-16,0.4602348214285715
2016-10-23,0.4870294642857143
2016-10-30,0.6869267857142857
2016-11-06,0.6307071428571429
2016-11-13,0.71770625
2016-11-20,0.7322848214285714
2016-11-27,0.6448044642857144
2016-12-04,0.5074830357142857
2016-12-11,0.8657142857142858
2016-12-18,0.8464660714285713
2016-12-25,0.6943803571428572
2017-01-01,0.6644973214285714
2017-01-08,0.6517669642857143
2017-01-15,0.6482669642857143
2017-01-22,0.6292928571428572
2017-01-29,0.6320660714285714
2017-02-05,0.8388491071428571
2017-02-12,0.5491767857142856
2017-02-19,0.6927071428571429
2017-02-26,0.8393660714285714
2017-03-05,0.6888589285714285
2017-03-12,0.7378142857142856
2017-03-19,0.7989133928571429
2017-03-26,0.6360848214285715
2017-04-02,0.7054982142857142
2017-04-09,0.6063160714285714
2017-04-16,0.6969044642857144
2017-04-23,0.5955910714285714
2017-04-30,0.5719035714285715
2017-05-07,0.37212321428571427
2017-05-14,0.5200526785714286
2017-05-21,0.7417571428571428
2017-05-28,0.5344026785714285
2017-06-04,0.6640151785714286
2017-06-11,0.6201696428571429
2017-06-18,0.5135401785714285
2017-06-25,0.6489839285714286
2017-07-02,0.7352464285714285
2017-07-09,0.6624732142857143
2017-07-16,0.5373803571428571
2017-07-23,0.6511223214285715
2017-07-30,0.5208696428571429
2017-08-06,0.4659785714285714
2017-08-13,0.5152473214285714
2017-08-20,0.49909285714285717
2017-08-27,0.6159053571428572
2017-09-03,0.5565651785714286
2017-09-10,0.6044794642857143
2017-09-17,0.5170714285714285
2017-09-24,0.7490544642857142
2017-10-01,0.6794491071428571
2017-10-08,0.6213678571428571
2017-10-15,0.6904357142857143
2017-10-22,0.6863205357142858
2017-10-29,0.6571964285714286
2017-11-05,0.6624669642857144
2017-11-12,0.7005803571428572
2017-11-19,0.7299098214285714
2017-11-26,0.7184089285714286
2017-12-03,0.6223883928571429
2017-12-10,0.6913053571428571
2017-12-17,0.6870366071428571
2017-12-24,0.92648125
2017-12-31,0.6876294642857143
2018-01-07,0.6444267857142857
2018-01-14,0.8055866071428571
2018-01-21,0.6839473214285714
2018-01-28,0.7735482142857143
2018-02-04,0.6023089285714286
2018-02-11,0.6194526785714285
2018-02-18,0.7003991071428571
2018-02-25,0.5292375
2018-03-04,0.7255714285714285
2018-03-11,0.7639696428571429
2018-03-18,0.7239392857142857
2018-03-25,0.6949955357142857
2018-04-01,0.6741339285714286
2018-04-08,0.8353964285714286
2018-04-15,0.7625598214285715
2018-04-22,0.47054017857142855
2018-04-29,0.6981714285714286
2018-05-06,0.4785125
2018-05-13,0.5414357142857142
2018-05-20,0.5737017857142857
2018-05-27,0.5008821428571429
2018-06-03,0.5451892857142857
2018-06-10,0.5669151785714286
2018-06-17,0.5858482142857142
2018-06-24,0.4748053571428571
2018-07-01,0.3199053571428571
2018-07-08,0.34482232142857144
2018-07-15,0.46773035714285716
2018-07-22,0.5580017857142857
2018-07-29,0.5197848214285714
2018-08-05,0.5208794642857143
2018-08-12,0.5926160714285714
2018-08-19,0.5736607142857143
2018-08-26,0.5482089285714286
2018-09-02,0.5118741071428571
2018-09-09,0.46709375
2018-09-16,0.7078776785714286
2018-09-23,0.6137080357142857
2018-09-30,0.5436946428571429
2018-10-07,0.6880205357142858
2018-10-14,0.7023714285714285
2018-10-21,0.5783366071428572
2018-10-28,0.5720714285714286
2018-11-04,0.6214946428571428
2018-11-11,0.7652571428571429
2018-11-18,0.5401098214285714
2018-11-25,0.6094955357142856
2018-12-02,0.7333544642857143
2018-12-09,0.6588839285714286
2018-12-16,0.77159375
2018-12-23,0.8599383928571429
2018-12-30,0.8541901785714286
